Title,Patent Number,Application Number,Type,Filed,Inventors
Analyzing message flows to select action clause paths for use in management of information technology assets,US12579455B2,17/869285,Grant,2022-07-20,Vivek Bhargava; Vaideeswaran Ganesan; Rishav Sethia
Apparatus and method for detecting poor component life zones in a datacenter,US10853222B2,16/045326,Grant,2018-07-25,Vaideeswaran Ganesan; Pravin Janakiram; Chandrasekhar Revuri
Apparatus and method for managing part life in a datacenter,US10846161B2,16/045273,Grant,2018-07-25,Vaideeswaran Ganesan; Pravin Janakiram; Chandrasekhar Revuri
Apparatus and method for troubleshooting poor part life zones in a datacenter,US11200141B2,16/045334,Grant,2018-07-25,Vaideeswaran Ganesan; Pravin Janakiram; Chandrasekhar Revuri
Artificial intelligence-based log information incorporation into code,,18/930321,Application,2024-10-29,Kiran Rangavajulla; Abhishek Mishra; Vivek Bhargava; Vaideeswaran Ganesan
Enabling software sensor power operation requests via baseboard management controller (BMC),US11048523B2,16/171329,Grant,2018-10-25,Vaideeswaran Ganesan; Balamurugan Gnanasambandam; Tamilarasan Janakiram; Sreeram Muthuraman
Managing power request during cluster operations,US10860078B2,16/171240,Grant,2018-10-25,Vaideeswaran Ganesan; Balamurugan Gnanasambandam; Tamilarasan Janakiram; Sreeram Muthuraman
Managing usage of resources in a hybrid computing environment,,17/858913,Application,2022-07-06,Vaideeswaran Ganesan; Pravin Janakiram
Message parsing to determine cross-application dependencies among actions from different applications,US12511169B2,17/869295,Grant,2022-07-20,Vivek Bhargava; Vaideeswaran Ganesan; Rishav Sethia
Network-wide identification of trusted disk group clusters,US11422744B2,16/984502,Grant,2020-08-04,Vaideeswaran Ganesan; Deepaganesh Paulraj; Vinod P S; Ankit Singh
One-touch migration of virtual assets,US11347435B2,16/932484,Grant,2020-07-17,Vaideeswaran Ganesan; Deepaganesh Paulraj; Ankit Singh; Vinod P S
Server device updates using update baselines tagged across multiple management consoles,US12117973B2,17/586073,Grant,2022-01-27,Vaideeswaran Ganesan; Pravin Janakiram
System and method for content addressable storage system update appliance,US11435929B2,17/005102,Grant,2020-08-27,Vaideeswaran Ganesan; Hemant Gaikwad; Pravin Janakiram
System and method for content addressable storage system update appliance,US11947825B2,17/828416,Grant,2022-05-31,Vaideeswaran Ganesan; Hemant Gaikwad; Pravin Janakiram
System and method for managing virtual hardware licenses of hardware resources accessed via application instances,US11954181B2,17/124393,Grant,2020-12-16,Vaideeswaran Ganesan; Viswanathan Balakrishnan
System and method for proactive management of components based on predicted component failures,US12614148B2,17/871613,Grant,2022-07-22,Vaideeswaran Ganesan; Sakshi Arora; Shrinidhi Katte; Sakshi Garg; Shubhangi Srivastava
System and method for proactive management of components based on service availability,US11646951B1,17/871638,Grant,2022-07-22,Vaideeswaran Ganesan; Shrinidhi Katte; Sakshi Garg; Sakshi Arora; Shubhangi Srivastava
System and method for providing intelligent assistance using a warranty bot,,17/409835,Application,2021-08-24,Vaideeswaran Ganesan; Chandrasekhar R; Nidhi Kant Arora
System and method to prevent power supply failures based on data center environmental behavior,US10877539B2,15/960263,Grant,2018-04-23,Santosh Kumar Sahu; Rama R. Bisa; Sunil Lingappa; Ajaya K. Senapati; Vaideeswaran Ganesan
System and method to replicate server configurations across systems using sticky attributions,US10200242B2,14/880751,Grant,2015-10-12,Ganesan Vaideeswaran; Naman Goel
Systems and methods for warranty recommendation using multi-level collaborative filtering,,17/409984,Application,2021-08-24,Vaideeswaran Ganesan; Praveen Lalgoudar; Varsha Berya; Rushyendra Velamuri; Abhishek Gupta; Pandiyan Varadharajan
Usage-banded anomaly detection and remediation utilizing analysis of system metrics,US11455206B2,17/179748,Grant,2021-02-19,Vaideeswaran Ganesan; Ankit Singh; Deepaganesh Paulraj
