record_id,canonical_key,family_id,jurisdiction,application_number,publication_numbers,grant_numbers,title,filing_date,current_status,status_effective_date,inventors,assignees,continuity_type,parent_application,status_confidence,identity_confidence,record_confidence,evidence_coverage,decision,confidence_reasons,source_urls,retrieved_at
rec-02a716a23207cc85,US|application|17/871638,,,17/871638,,US11646951B1,System and method for proactive management of components based on service availability,2022-07-22,Active,,Vaideeswaran Ganesan; Shrinidhi Katte; Sakshi Garg; Sakshi Arora; Shubhangi Srivastava,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US11646951B1/en,2026-08-07T17:40:00Z
rec-17a08bc86422588b,US|application|17/869285,,,17/869285,US20240028934A1,US12579455B2,Analyzing message flows to select action clause paths for use in management of information technology assets,2022-07-20,Active,,Vivek Bhargava; Vaideeswaran Ganesan; Rishav Sethia,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US12579455B2/en,2026-08-07T17:40:00Z
rec-19a12fa3e2752022,US|application|16/932484,,,16/932484,US20220019378A1,US11347435B2,One-touch migration of virtual assets,2020-07-17,Active,,Vaideeswaran Ganesan; Deepaganesh Paulraj; Ankit Singh; Vinod P S,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US11347435B2/en,2026-08-07T17:40:00Z
rec-2377775684d66986,US|application|15/960263,,,15/960263,US20190324514A1,US10877539B2,System and method to prevent power supply failures based on data center environmental behavior,2018-04-23,Active,,Santosh Kumar Sahu; Rama R. Bisa; Sunil Lingappa; Ajaya K. Senapati; Vaideeswaran Ganesan,,,,0.8,0.9729,0.825,0.7,include,name=1.00;affiliation=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US10877539B2/en,2026-08-07T17:40:00Z
rec-2634783d271c49ff,US|application|16/984502,,,16/984502,US20220043598A1,US11422744B2,Network-wide identification of trusted disk group clusters,2020-08-04,Active,,Vaideeswaran Ganesan; Deepaganesh Paulraj; Vinod P S; Ankit Singh,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US11422744B2/en,2026-08-07T17:40:00Z
rec-2ced839535df4a4b,US|application|17/005102,,,17/005102,US20220066673A1,US11435929B2,System and method for content addressable storage system update appliance,2020-08-27,Active,,Vaideeswaran Ganesan; Hemant Gaikwad; Pravin Janakiram,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US11435929B2/en,2026-08-07T17:40:00Z
rec-315c2aa36420e885,US|application|16/045273,,,16/045273,US20200034221A1,US10846161B2,Apparatus and method for managing part life in a datacenter,2018-07-25,Active,,Vaideeswaran Ganesan; Pravin Janakiram; Chandrasekhar Revuri,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US10846161B2/en,2026-08-07T17:40:00Z
rec-32c737944e2b1943,US|application|16/045326,,,16/045326,US20200034268A1,US10853222B2,Apparatus and method for detecting poor component life zones in a datacenter,2018-07-25,Active,,Vaideeswaran Ganesan; Pravin Janakiram; Chandrasekhar Revuri,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US10853222B2/en,2026-08-07T17:40:00Z
rec-3d80348df84a65ef,US|application|18/930321,,,18/930321,US20260119371A1,,Artificial intelligence-based log information incorporation into code,2024-10-29,Pending,,Kiran Rangavajulla; Abhishek Mishra; Vivek Bhargava; Vaideeswaran Ganesan,,,,0.8,0.98,0.825,0.95,include,name=1.00;affiliation=1.00;collaborators=1.00;topic=0.90;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US20260119371A1/en,2026-08-07T17:40:00Z
rec-417930c2930e7b3c,US|application|17/179748,,,17/179748,US20220269555A1,US11455206B2,Usage-banded anomaly detection and remediation utilizing analysis of system metrics,2021-02-19,Active,,Vaideeswaran Ganesan; Ankit Singh; Deepaganesh Paulraj,,,,0.8,0.9514,0.825,0.7,include,name=1.00;collaborators=1.00;topic=0.80;timeline=1.00;creator_role=1.00;cross_source=0.80,https://patents.google.com/patent/US11455206B2/en,2026-08-07T17:40:00Z
